Categories,Factors,Average reading score,,,,,Study 0.5 to 1 hour,Study 1 to  2 hours,Study > 2 hours
Australia,Desk and table,531.7885502,,,,,523.4741171,528.738609,522.622358
Australia,No desk and table,506.6869756,,,,,561.8036974,580.8709249,571.9630667
Australia,No room or internet,459.9274703,,,,,547.248889,562.1847437,533.7257081
Australia,Room or internet,515.7213447,,,,,557.9939687,577.243327,567.8583476
Australia,Room and internet,534.0883684,,,,,563.7963459,585.8209822,591.4880378
Canada,Desk and table,550.4375151,,,,,,,
Canada,No desk and table,541.8649754,,,,,,,
Canada,No room or internet,501.0533111,,,,,,,
Canada,Room or internet,541.5421249,,,,,,,
Canada,Room and internet,551.8815851,,,,,,,
England,Desk and table,555.8792877,,,,,,,
England,No desk and table,538.5871315,,,,,,,
England,No room or internet,507.6609397,,,,,,,
England,Room or internet,534.8996995,,,,,,,
England,Room and internet,559.1800991,,,,,,,
International Average,Desk and table,517.9077482,,,,,,,
International Average,No desk and table,490.6824062,,,,,,,
International Average,No room or internet,475.0156203,,,,,,,
International Average,Room or internet,507.208812,,,,,,,
International Average,Room and internet,521.590867,,,,,,,
Singapore,Desk and table,572.5429697,,,,,,,
Singapore,No desk and table,531.4022839,,,,,,,
Singapore,No room or internet,495.4629126,,,,,,,
Singapore,Room or internet,569.2994142,,,,,,,
Singapore,Room and internet,572.9536489,,,,,,,
United States,Desk and table,562.9436015,,,,,,,
United States,No desk and table,535.4183228,,,,,,,
United States,No room or internet,517.8735759,,,,,,,
United States,Room or internet,547.3189765,,,,,,,
United States,Room and internet,565.1435827,,,,,,,